smiles,pIC50
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCO)[C@@H](C)C3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,7.886056648
Fc1ccc2nc(-c3ccc4[nH]ccc4c3)oc2n1,7.860120914
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCC[C@]3(CCOC3)[C@@H]1COc1c(F)ccc(F)c12,7.8569852
O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,7.853871964
CNc1ccc(-c2nc3ccc(OC)cc3s2)c(F)n1,7.853871964
O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,7.853871964
C[C@]1(c2nc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC1(F)F,7.853871964
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCO[C@@H](CCC(O)CO)[C@@H]1COc1c(F)ccc(F)c12,7.823908741
O=C(O[C@H]1CCC2CCCC1N2S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,7.823908741
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(F)cc1,7.795880017
O=C(OC[C@H]1CCC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCC(N2CCCCC2)CC1,7.795880017
CC1=NC2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1CCC21CC1,7.795880017
CC[C@@H](C)Oc1ccc2c(c1)C1(N=C(C)C(N)=N1)[C@]1(CC[C@H](OC)CC1)C2,7.795880017
O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCCO)CC1,7.795880017
COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,7.782516056
O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CC[C@@H](O)C1,7.769551079
COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)c2)c(C)c1,7.769551079
CC#Cc1cncc(-c2cc3c(cc2C)C[C@]2(CC[C@@H](OC)CC2)C32N=C(C)C(N)=N2)c1,7.769551079
C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)COCC(N)=N1,7.769551079
CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCN(CCCO)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,7.769551079
O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,7.760450279
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O,7.744727495
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O,7.744727495
Nc1ncccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,7.744727495
O=c1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)c[nH]1,7.728158393
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,7.721246399
CNc1ccc(-c2cc3cc(C(N)=O)ccc3o2)c(F)n1,7.721246399
CO[C@H]1CC[C@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1,7.721246399
[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],7.721246399
C[C@]1(c2nc(NC(=O)c3ncc(C#CCO)cc3Cl)ccc2F)N=C(N)OCC1(F)F,7.721246399
C[C@@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,7.657577319
